OBJECTID,Name,Acres,Neighborho,SqMiles,ShapeSTAre,ShapeSTLen
"27",Roslindale,1605.568237499999896,"15",2.510000000000000,69938272.674316406250000,53563.912597056623781
"28",Jamaica Plain,2519.245393770000192,"11",3.940000000000000,109737890.396972656250000,56349.937161410227418
"29",Mission Hill,350.853563599999973,"13",0.550000000000000,15283120.097167968750000,17918.724113458414649
"30",Longwood,188.611946719999992,"28",0.290000000000000,8215903.537109375000000,11908.757147546602937
"31",Bay Village,26.539839160000000,"33",0.040000000000000,1156070.770507812500000,4650.635493295902052
"32",Leather District,15.639908110000000,"27",0.020000000000000,681271.671875000000000,3237.140536982457888
"33",Chinatown,76.324409990000007,"26",0.120000000000000,3324678.000000000000000,9736.590412617801121
"34",North End,126.910439010000005,"14",0.200000000000000,5527505.988525390625000,16177.826815423020889
"35",Roxbury,2108.469071760000134,"16",3.290000000000000,91844545.387451171875000,49488.800484731051256
"36",South End,471.535355610000011,"32",0.740000000000000,20539997.932617187500000,17912.333569488699140
"37",Back Bay,399.314411059999998,"2",0.620000000000000,17394066.162353515625000,19455.671146459630108
"38",East Boston,3012.059593190000214,"8",4.710000000000000,131384487.993408218026161,121089.100851955037797
"39",Charlestown,871.541222859999948,"4",1.360000000000000,37964183.808837883174419,57509.688644992347690
"40",West End,190.490732400000013,"31",0.300000000000000,8297743.113769531250000,17728.590026702506293
"41",Beacon Hill,200.156903970000002,"30",0.310000000000000,8718799.859375000000000,14303.829016718918865
"42",Downtown,397.472846440000012,"7",0.620000000000000,17313847.934570312500000,34612.804441051644972
"43",Fenway,560.618461430000025,"34",0.880000000000000,24420442.494628906250000,24620.876452226770198
"44",Brighton,1840.408596270000089,"25",2.880000000000000,80167877.779541015625000,48787.519651515998703
"45",West Roxbury,3516.421786179999799,"19",5.490000000000000,153174720.308227539062500,66067.419838181929663
"46",Hyde Park,2927.221167730000161,"10",4.570000000000000,127509244.027709960937500,66861.244955426722299
"47",Mattapan,1352.098353650000035,"12",2.110000000000000,58897168.690917968750000,42005.773707019368885
"48",Dorchester,4662.879457299999558,"6",7.290000000000000,203114216.697753906250000,104344.034004845350864
"49",South Boston Waterfront,621.843523730000015,"29",0.970000000000000,27087395.545166015625000,38391.352905240128166
"50",South Boston,1439.888807309999947,"17",2.250000000000000,62721305.557861328125000,64998.420282952465641
"51",Allston,998.534478690000014,"24",1.560000000000000,43495987.904785156250000,37859.091241667461873
"52",Harbor Islands,824.888657940000030,"22",1.290000000000000,35932006.207519531250000,92482.183568336811732
